v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,How are you holding up?,,,
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn""",,,
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,,,
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,,,
ham,So when do you wanna gym?,,,
ham,2mro i am not coming to gym machan. Goodnight.,,,
ham,I'm fine. Hope you are also,,,
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..",,,
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",,,
ham,I anything lor...,,,
ham,Wat time Ì_ finish?,,,
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
ham,At the funeral home with Audrey and dad,,,
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,,
ham,Its hard to believe things like this. All can say lie but think twice before saying anything to me.,,,
ham,No message..no responce..what happend?,,,
ham,Jay says that you're a double-faggot,,,
ham,Okie Ì_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,,,
ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,,,
ham,"Total disappointment, when I texted you was the craziest shit got :(",,,
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",,,
ham,"Tee hee. Off to lecture, cheery bye bye.",,,
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
ham,R we still meeting 4 dinner tonight?,,,
ham,You need to get up. Now.,,,
ham,Mm umma ask vava also to come tell him can play later together,,,
ham,Can i get your opinion on something first?,,,
ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,,,
ham,Ya:)going for restaurant..,,,
ham,How are you doing. How's the queen. Are you going for the royal wedding,,,
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",,,
ham,Yep then is fine 7.30 or 8.30 for ice age.,,,
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,,,
spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,,,
ham,X2  &lt;#&gt; . Are you going to get that,,,
spam,network operator. The service is free. For T & C's visit 80488.biz,,,
ham,Is there coming friday is leave for pongal?do you get any news from your work place.,,,
ham,You still coming tonight?,,,
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,,,
ham,What's nannys address?,,,
ham,o turns out i had stereo love on mi phone under the unknown album.,,,
ham,We live in the next  &lt;#&gt; mins,,,
ham,Not sure I have the stomach for it ...,,,
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,,,
ham,I dunno until when... Lets go learn pilates...,,,
ham,I am late. I will be there at,,,
ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.",,,
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",,,
ham,I canåÕt wait for cornwall. Hope tonight isnåÕt too bad as well but itåÕs rock night shite. Anyway iåÕm going for a kip now have a good night. Speak to you soon.,,,
ham,I doubt you could handle 5 times per night in any case...,,,
ham,None of that's happening til you get here though,,,
ham,Good night my dear.. Sleepwell&amp;Take care,,,
ham,Well good morning mr . Hows london treatin' ya treacle?,,,
spam,Reply to win å£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,,,
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),,,
ham,How do you guys go to see movies on your side.,,,
ham,Unlimited texts. Limited minutes.,,,
ham,"Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx",,,
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",,,
ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",,,
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,,,
ham,After the drug she will be able to eat.,,,
ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS," HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX\""""",,
ham,"Just making dinner, you ?",,,
ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,,,
ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",,,
ham,Hi its in durban are you still on this number,,,
ham,"Yo, any way we could pick something up tonight?",,,
spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,,,
ham,Wait  &lt;#&gt;  min..,,,
ham,Then mum's repent how?,,,
ham,Also remember the beads don't come off. Ever.,,,
ham,Ill be at yours in about 3 mins but look out for me,,,
ham,The basket's gettin full so I might be by tonight,,,
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,,,
spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,,,
ham,Jos ask if u wana meet up?,,,
ham,Which is weird because I know I had it at one point,,,
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,,,
ham,No..he joined today itself.,,,
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",,,
ham,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,,,
ham,Omg it could snow here tonite!,,,
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,,,
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",,,
ham,By monday next week. Give me the full gist,,,
ham,Wat's da model num of ur phone?,,,
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...,,,
ham,University of southern california.,,,
ham,\Hey sorry I didntgive ya a a bellearlier hunny,"just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",,
ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,,,
ham,Life style garments account no please.,,,
ham,Once free call me sir.,,,
ham,Good morning princess! Happy New Year!,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,,,
ham,Fine. Do you remember me.,,,
ham,I finished my lunch already. U wake up already?,,,
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap,,,
ham,Does uncle timi help in clearing cars,,,
ham,I am taking half day leave bec i am not well,,,
ham,No de.am seeing in online shop so that i asked.,,,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",,,
ham,That's y u haf 2 keep me busy...,,,
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
ham,"No, I was trying it all weekend ;V",,,
ham,"Cool, what time you think you can get here?",,,
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,,,
ham,I hope your pee burns tonite.,,,
ham,"Aight yo, dats straight dogg",,,
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",,,
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",,,
ham,Y so late but i need to go n get da laptop...,,,
ham,How was txting and driving,,,
ham,Ranjith cal drpd Deeraj and deepak 5min hold,,,
ham,What is the plural of the noun research?,,,
ham,I like dis sweater fr mango but no more my size already so irritating.,,,
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,,,
ham,I've sent Ì_ my part..,,,
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",,,
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,,,
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",,,
ham,When i have stuff to sell i.ll tell you,,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo",,,
ham,In fact when do you leave? I think addie goes back to school tues or wed,,,
ham,U know we watchin at lido?,,,
ham,"A few people are at the game, I'm at the mall with iouri and kaila",,,
ham,I.ll get there tomorrow and send it to you,,,
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,,,
ham,What makes you most happy?,,,
ham,We don call like  &lt;#&gt;  times oh. No give us hypertension oh.,,,
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",,,
ham,Good morning princess! Have a great day!,,,
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,
ham,Yeah I can still give you a ride,,,
ham,My exam is for february 4. Wish you a great day.,,,
ham,Any pain on urination any thing else?,,,
ham,I'm in town now so i'll jus take mrt down later.,,,
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,,,
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",,,
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,,,
ham,"Ela kano.,il download, come wen ur free..",,,
ham,Is xy in ur car when u picking me up?,,,
ham,Good. No swimsuit allowed :),,,
ham,U buy newspapers already?,,,
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
ham,We stopped to get ice cream and will go back after,,,
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,,,
ham,Thank god they are in bed!,,,
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",,,
ham,Wait 2 min..stand at bus stop,,,
ham,How. Its a little difficult but its a simple way to enter this place,,,
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,,,
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?",,,
ham,Ok lar... Joking wif u oni...,,,
ham,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",,,
ham,"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",,,
ham,Thats cool. I want to please you...,,,
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?,,,
ham,Then dun wear jeans lor...,,,
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,,,
ham,Ok lor...,,,
ham,Gud mrng dear hav a nice day,,,
ham,"K will do, addie &amp; I are doing some art so I'll be here when you get home",,,
ham,S s..first time..dhoni rocks...,,,
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",,,
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,,,
ham,I'm at home. Please call,,,
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well,,,
ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,,,
ham,Sry da..jst nw only i came to home..,,,
ham,Do u knw dis no. &lt;#&gt; ?,,,
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,,,
ham,"Awesome, think we can get an 8th at usf some time tonight?",,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,,,
ham,Yup... How Ì_ noe leh...,,,
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,,,
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,,,
ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,,
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",,,
ham,"Geeeee ... Your internet is really bad today, eh ?",,,
ham,Yo you around? A friend of mine's lookin to pick up later tonight,,,
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",,,
ham,"whatever, im pretty pissed off.",,,
ham,I place all ur points on e cultures module already.,,,
ham,Xy trying smth now. U eat already? We havent...,,,
spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,,,
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",,,
ham,Oh thanks a lot..i already bought 2 eggs ..,,,
ham,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,,,
spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,,,
ham,"Usf I guess, might as well take 1 car",,,
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,,,
ham,Finished class where are you.,,,
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",,,
ham,Are you sure you don't mean \get here," we made you hold all the weed\""""",,
ham,You can never do NOTHING,,,
ham,Pick you up bout 7.30ish? What time are  and that going?,,,
ham,my ex-wife was not able to have kids. Do you want kids one day?,,,
ham,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_",,,
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,,,
ham,Somebody set up a website where you can play hold em using eve online spacebucks,,,
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,,,
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.,,,
spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",,,
spam,3. You have received your mobile content. Enjoy,,,
spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",,,
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,,,
ham,In which place i can get rooms cheap:-),,,
ham,Can come my room but cannot come my house cos my house still messy... Haha...,,,
ham,But that's on ebay it might be less elsewhere.,,,
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,I was just callin to say hi. Take care bruv!,,,
ham,Reverse is cheating. That is not mathematics.,,,
ham,Lol enjoy role playing much?,,,
ham,I need... Coz i never go before ,,,
spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X",,,
ham,Leave it. U will always be ignorant.,,,
ham,Okie,,,
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola",,,
ham,Its too late:)but its k.wish you the same.,,,
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,,,
ham,Are you available for soiree on June 3rd?,,,
spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",,,
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,,,
spam,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",,,
ham,Great! So what attracts you to the brothas?,,,
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,,,
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,,,
ham,No. I.ll meet you in the library,,,
ham,Aah bless! How's your arm?,,,
ham,"Aight, I'll ask a few of my roommates",,,
ham,All e best 4 ur driving tmr :-),,,
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,,,
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,,,
ham,K.:)you are the only girl waiting in reception ah?,,,
ham,"Sorry, I'll call later",,,
ham,Yup Ì_ not comin :-(,,,
ham,Then wat r u doing now? Busy wif work?,,,
ham,What time you think you'll have it? Need to know when I should be near campus,,,
ham,"If e timing can, then i go w u lor...",,,
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",,,
ham,"Yes, princess. Are you going to make me moan?",,,
ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though",,,
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",,,
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",,,
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
ham,Gokila is talking with you aha:),,,
spam,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",,,
ham,"That's cool he'll be here all night, lemme know when you're around",,,
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,,,
ham,Long time. You remember me today.,,,
ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,,,
ham,Wot is u up 2 then bitch?,,,
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,,,
ham,These won't do. Have to move on to morphine,,,
ham,Will be out of class in a few hours. Sorry,,,
ham,I like to talk pa but am not able to. I dont know y.,,,
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",,,
ham,That seems unnecessarily hostile,,,
ham,S:)no competition for him.,,,
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,,,
ham,Stupid.its not possible,,,
ham,am up to my eyes in philosophy,,,
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep",,,
ham,Who u talking about?,,,
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,,,
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",,,
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,,,
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",,,
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,
ham,Yup...,,,
ham,She.s find. I sent you an offline message to know how anjola's now.,,,
spam,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,,,
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",,,
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,,,
ham,Call me when you get the chance plz &lt;3,,,
ham,IÛ÷m going to try for 2 months ha ha only joking,,,
ham,Sat right? Okay thanks... ,,,
ham,Gibbs unsold.mike hussey,,,
ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",,,
ham,Today am going to college so am not able to atten the class.,,,
ham,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",,,
ham,Lol no. Just trying to make your day a little more interesting,,,
ham,"Awesome, I'll see you in a bit",,,
ham,How are you. Wish you a great semester,,,
ham,Hello which the site to download songs its urgent pls,,,
ham,I will reach before ten morning,,,
ham,Do you know where my lab goggles went,,,
ham,Dad went out oredi... ,,,
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,,,
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?,,,
ham,Should i send you naughty pix? :),,,
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,,,
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,,,
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,,,
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
ham,ÌÏ no home work to do meh... ,,,
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,,,
ham,I accidentally deleted the message. Resend please.,,,
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
ham,Ya srsly better than yi tho,,,
ham,Send me yetty's number pls.,,,
ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,,,
ham,Mine here like all fr china then so noisy.,,,
ham,K...k...when will you give treat?,,,
ham,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,,,
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?,,,
ham,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,,,
ham,Go where n buy? Juz buy when we get there lar.,,,
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,,,
ham,Aiya we discuss later lar... Pick Ì_ up at 4 is it?,,,
ham,Having lunch:)you are not in online?why?,,,
ham,* Am on my way,,,
ham,Did you stitch his trouser,,,
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,
ham,You call times job today ok umma and ask them to speed up,,,
ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing ,,,
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,,,
ham,But i juz remembered i gotta bathe my dog today..,,,
ham,A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd," but watever u shared should be true\""....""",,
ham,Your pussy is perfect!,,,
ham,"Just wondering, the others just took off",,,
ham,Well boy am I glad G wasted all night at applebees for nothing,,,
ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,,,
ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,,,
ham,Stupid auto correct on my phone,,,
ham,That's my honeymoon outfit. :),,,
ham,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,Well you told others you'd marry them...,,,
ham,"Not really dude, have no friends i'm afraid :(",,,
ham,Oh k. . I will come tomorrow,,,
ham,Just haven't decided where yet eh ?,,,
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... ,,,
ham,it's really getting me down just hanging around.,,,
ham,Am in film ill call you later.,,,
ham,I got your back! Do you have any dislikes in bed?,,,
ham,Same as kallis dismissial in 2nd test:-).,,,
ham,"Oops, I'll let you know when my roommate's done",,,
ham,Ok lor but not too early. Me still having project meeting now.,,,
ham,"Night night, see you tomorrow",,,
ham,Is it your yahoo boys that bring in the perf? Or legal.,,,
ham,Eh u send wrongly lar...,,,
